Row.names,epi_variance,inflam_til_variance,residuals_variance,type
ENSG00000000003,0.225444081,0.021300173,0.753255746,deep
ENSG00000000005,0.015402439,0.014542935,0.970054625,deep
ENSG00000000419,0.053385989,0.056015648,0.890598363,deep
ENSG00000000457,0.030092148,0.010416847,0.959491005,deep
ENSG00000000460,0.000184469,2.45E-07,0.999815287,deep
ENSG00000000938,0.00136652,0.109196487,0.889436993,deep
ENSG00000000971,0.118324966,0.016121595,0.86555344,deep
ENSG00000001036,0.097600108,6.56E-05,0.902334336,deep
ENSG00000001084,0.0301993,0.082278442,0.887522258,deep
ENSG00000001167,0.032444999,0.000169766,0.967385235,deep
ENSG00000001460,0.102616956,0.021134178,0.876248866,deep
ENSG00000001461,0.145671924,0.001075325,0.853252751,deep
ENSG00000001497,0.03525905,0.034478797,0.930262153,deep
ENSG00000001561,0.072513961,0.033489724,0.893996316,deep
ENSG00000001617,0.028397405,0.005650491,0.965952104,deep
ENSG00000001626,0.00240866,0.100029912,0.897561429,deep
ENSG00000001629,0.000291532,0.033792348,0.96591612,deep
ENSG00000001630,0.13202404,0.064929337,0.803046623,deep
ENSG00000001631,0.098462281,0.002477627,0.899060092,deep
ENSG00000002016,0.009239899,0.010396466,0.980363635,deep
ENSG00000002079,0.012308863,3.02E-05,0.987660914,deep
ENSG00000002330,0.02013633,0.024460893,0.955402777,deep
ENSG00000002549,0.004896844,0.066868122,0.928235034,deep
ENSG00000002586,0.001369626,0.000912152,0.997718222,deep
ENSG00000002587,0.004562611,0.122950342,0.872487047,deep
ENSG00000002726,0.080562407,0.003720772,0.915716822,deep
ENSG00000002745,0.023043095,0.018160641,0.958796264,deep
ENSG00000002746,0.036218589,0.040503474,0.923277937,deep
ENSG00000002822,0.015212804,0.01310825,0.971678946,deep
ENSG00000002834,0.030250717,0.056146878,0.913602406,deep
ENSG00000002919,0.016323454,0.011750617,0.971925928,deep
ENSG00000002933,0.015682057,0.10093411,0.883383833,deep
ENSG00000003056,0.020594141,0.065840104,0.913565755,deep
ENSG00000003096,0.079501282,4.16E-05,0.920457123,deep
ENSG00000003137,0.011878402,0.000165532,0.987956066,deep
ENSG00000003147,0.306247418,0.016690066,0.677062516,deep
ENSG00000003249,0.125136867,0.006342059,0.868521074,deep
ENSG00000003393,0.101988148,0.026880584,0.871131267,deep
ENSG00000003400,0.002985843,0.053175173,0.943838984,deep
ENSG00000003402,0.00103802,0.013535113,0.985426867,deep
ENSG00000003436,0.148669764,0.067813197,0.783517039,deep
ENSG00000003509,0.079926554,0.000295319,0.919778126,deep
ENSG00000003756,0.014448137,0.017319309,0.968232555,deep
ENSG00000003987,0.000670967,0.000276393,0.99905264,deep
ENSG00000003989,0.062656995,0.015894687,0.921448318,deep
ENSG00000004059,0.054704769,0.012575043,0.932720188,deep
ENSG00000004139,0.047721343,6.28E-05,0.952215875,deep
ENSG00000004142,0.110176904,0.106210776,0.78361232,deep
ENSG00000004399,0.04171095,0.110351747,0.847937303,deep
ENSG00000004455,0.026866698,0.02952714,0.943606162,deep
ENSG00000004468,0.128128403,0.000339505,0.871532092,deep
ENSG00000004478,0.090835476,0.085352372,0.823812152,deep
ENSG00000004487,0.032920595,0.059962995,0.907116409,deep
ENSG00000004534,0.05783446,0.022623376,0.919542165,deep
ENSG00000004660,0.035887882,0.004458841,0.959653278,deep
ENSG00000004700,0.11700015,0.076387668,0.806612182,deep
ENSG00000004766,0.00168481,0.000315686,0.997999505,deep
ENSG00000004776,0.316239388,0.001880584,0.681880028,deep
ENSG00000004777,0.027486595,0.005629948,0.966883457,deep
ENSG00000004779,0.074544603,0.011881388,0.913574009,deep
ENSG00000004799,0.007161838,0.004584565,0.988253597,deep
ENSG00000004838,0.001106631,0.000298506,0.998594863,deep
ENSG00000004846,1.46E-05,0.000136304,0.99984913,deep
ENSG00000004848,0.0508651,0.000897162,0.948237737,deep
ENSG00000004864,0.19856041,0.019432298,0.782007292,deep
ENSG00000004866,4.90E-05,0.002331981,0.997619063,deep
ENSG00000004897,0.162555248,0.06921715,0.768227602,deep
ENSG00000004961,0.013088388,0.005437756,0.981473856,deep
ENSG00000004975,5.30E-05,0.115849734,0.884097301,deep
ENSG00000005001,0.018285961,0.055139746,0.926574293,deep
ENSG00000005007,0.10034211,0.037188234,0.862469655,deep
ENSG00000005020,0.014671534,0.000177315,0.985151151,deep
ENSG00000005022,0.000620843,0.011027463,0.988351694,deep
ENSG00000005059,0.06887947,0.136978806,0.794141725,deep
ENSG00000005073,0.030816644,0.009720104,0.959463252,deep
ENSG00000005075,0.00416077,0.01071658,0.98512265,deep
ENSG00000005100,0.035610447,0.004106837,0.960282716,deep
ENSG00000005102,0.057671175,0.012445422,0.929883404,deep
ENSG00000005108,0.329778648,0.003174984,0.667046368,deep
ENSG00000005156,0.152127901,0.100960524,0.746911575,deep
ENSG00000005175,0.017480636,0.004462245,0.978057119,deep
ENSG00000005187,0.035927518,0.003322694,0.960749789,deep
ENSG00000005189,0.092644866,0.047675378,0.859679756,deep
ENSG00000005194,0.146237739,9.68E-05,0.853665446,deep
ENSG00000005206,0.006351724,0.01019791,0.983450366,deep
ENSG00000005238,0.016907002,0.007145388,0.97594761,deep
ENSG00000005243,0.348560075,0.000222511,0.651217413,deep
ENSG00000005249,0.210959089,0.012658092,0.776382819,deep
ENSG00000005302,0.065106898,0.053722374,0.881170727,deep
ENSG00000005339,0.021066611,0.000921409,0.97801198,deep
ENSG00000005379,0.05550615,0.004581317,0.939912533,deep
ENSG00000005381,0.017427251,0.036480953,0.946091797,deep
ENSG00000005421,0.020968804,3.72E-05,0.978993978,deep
ENSG00000005436,0.029987243,0.046582001,0.923430756,deep
ENSG00000005448,0.013781041,0.016166861,0.970052098,deep
ENSG00000005469,0.076136618,0.04072845,0.883134932,deep
ENSG00000005471,0.002105827,0.020440885,0.977453288,deep
ENSG00000005483,0.004534505,0.004161066,0.991304428,deep
ENSG00000005486,0.097243296,0.024546795,0.878209909,deep
ENSG00000005513,0.000528827,0.00984032,0.989630853,deep
ENSG00000005700,0.091898721,0.053020923,0.855080356,deep
ENSG00000005801,0.006311466,5.39E-08,0.99368848,deep
ENSG00000005810,0.086916597,0.019168378,0.893915026,deep
ENSG00000005812,0.055740664,0.000176163,0.944083173,deep
ENSG00000005844,0.003488216,0.191313186,0.805198597,deep
ENSG00000005882,0.158104181,0.004512301,0.837383518,deep
ENSG00000005884,0.045355832,0.010520161,0.944124007,deep
ENSG00000005889,0.006550704,0.032294388,0.961154908,deep
ENSG00000005893,0.317539967,0.008027098,0.674432935,deep
ENSG00000005961,0.059302431,0.007727112,0.932970456,deep
ENSG00000005981,0.005372308,0.000123255,0.994504437,deep
ENSG00000006007,0.004283888,0.002216345,0.993499768,deep
ENSG00000006015,0.00101062,1.79E-05,0.998971518,deep
ENSG00000006016,0.000895478,0.00526344,0.993841082,deep
ENSG00000006025,0.007603513,0.019570745,0.972825741,deep
ENSG00000006042,0.151686134,0.002236271,0.846077595,deep
ENSG00000006047,0.000233379,0.001180341,0.99858628,deep
ENSG00000006062,0.034806224,0.065603836,0.89958994,deep
ENSG00000006071,0.015331361,0.012144424,0.972524215,deep
ENSG00000006118,0.007958832,0.092104223,0.899936945,deep
ENSG00000006125,0.011953296,0.009073929,0.978972775,deep
ENSG00000006128,0.044844429,0.007840943,0.947314628,deep
ENSG00000006194,0.000264353,0.004237999,0.995497649,deep
ENSG00000006210,0.063970902,0.119736058,0.81629304,deep
ENSG00000006282,0.001190741,0.017034944,0.981774315,deep
ENSG00000006283,0.078094335,0.02679006,0.895115605,deep
ENSG00000006327,0.071152699,0.009051759,0.919795542,deep
ENSG00000006432,0.175769811,1.48E-06,0.824228713,deep
ENSG00000006451,0.039000978,0.037990186,0.923008836,deep
ENSG00000006453,0.233784629,0.007363903,0.758851468,deep
ENSG00000006459,0.069835812,0.050421365,0.879742823,deep
ENSG00000006468,0.068311162,0.000599556,0.931089282,deep
ENSG00000006530,0.017587804,0.031038368,0.951373828,deep
ENSG00000006534,0.063685726,0.054026794,0.88228748,deep
ENSG00000006555,0.342821621,0.001358413,0.655819965,deep
ENSG00000006576,0.244943495,0.08264743,0.672409075,deep
ENSG00000006607,0.031683329,0.043724732,0.924591939,deep
ENSG00000006625,0.062806114,0.04693595,0.890257936,deep
ENSG00000006634,0.142625193,0.001552967,0.855821841,deep
ENSG00000006638,0.082264081,0.002741208,0.914994711,deep
ENSG00000006652,0.012552995,0.000708974,0.986738031,deep
ENSG00000006695,3.71E-05,0.008910245,0.991052646,deep
ENSG00000006704,0.018984967,0.144817352,0.836197681,deep
ENSG00000006712,0.000537441,0.000128585,0.999333974,deep
ENSG00000006715,1.92E-05,0.0044547,0.995526054,deep
ENSG00000006740,0.046194271,0.004274532,0.949531198,deep
ENSG00000006744,0.018830303,0.036211853,0.944957845,deep
ENSG00000006747,0.04593818,0.012537709,0.941524111,deep
ENSG00000006756,0.237378933,0.01369991,0.748921157,deep
ENSG00000006757,0.086060147,0.136069366,0.777870487,deep
ENSG00000006831,0.124592418,0.032816953,0.842590628,deep
ENSG00000006837,0.003824379,0.011185401,0.98499022,deep
ENSG00000007001,0.013048851,0.007716113,0.979235036,deep
ENSG00000007038,0.033682504,0.00588668,0.960430816,deep
ENSG00000007047,0.023073131,0.028755048,0.948171821,deep
ENSG00000007062,0.012112088,0.070029664,0.917858247,deep
ENSG00000007080,0.064688535,0.000249393,0.935062072,deep
ENSG00000007129,0.003442231,0.084699753,0.911858015,deep
ENSG00000007168,0.147046939,0.002450924,0.850502137,deep
ENSG00000007171,0.008889541,0.03890667,0.952203789,deep
ENSG00000007174,0.039015916,0.00023506,0.960749024,deep
ENSG00000007202,0.020565362,0.011458723,0.967975915,deep
ENSG00000007237,0.003268162,0.028984538,0.9677473,deep
ENSG00000007255,0.064998067,0.001904507,0.933097427,deep
ENSG00000007264,0.003995359,0.171921041,0.824083599,deep
ENSG00000007312,0.03129176,0.098861224,0.869847016,deep
ENSG00000007314,0.009439055,0.0014099,0.989151045,deep
ENSG00000007341,0.014133273,0.047027637,0.93883909,deep
ENSG00000007372,0.014886373,0.000499626,0.984614001,deep
ENSG00000007376,1.80E-05,0.000272725,0.999709324,deep
ENSG00000007384,0.017948405,0.079962384,0.902089211,deep
ENSG00000007392,0.091829749,0.010992633,0.897177617,deep
ENSG00000007402,0.167210405,0.082019015,0.750770581,deep
ENSG00000007516,0.069912527,0.003039817,0.927047656,deep
ENSG00000007520,0.099009984,0.005094856,0.89589516,deep
ENSG00000007541,0.003500277,0.020476974,0.976022749,deep
ENSG00000007545,0.013526949,0.000521949,0.985951103,deep
ENSG00000007866,0.160250293,0.0005646,0.839185107,deep
ENSG00000007908,0.015967948,0.058813115,0.925218937,deep
ENSG00000007923,0.106804439,0.049450752,0.843744809,deep
ENSG00000007933,0.019381721,0.113369135,0.867249145,deep
ENSG00000007944,0.028243367,0.008141662,0.963614971,deep
ENSG00000007952,0.000462482,0.007623877,0.991913641,deep
ENSG00000007968,0.007639552,0.07223557,0.920124878,deep
ENSG00000008018,0.014882705,0.002758935,0.98235836,deep
ENSG00000008056,0.042795971,0.002732343,0.954471685,deep
ENSG00000008083,0.10264739,0.035543065,0.861809545,deep
ENSG00000008086,0.169592682,0.026987724,0.803419595,deep
ENSG00000008118,0.085148999,0.015532496,0.899318505,deep
ENSG00000008128,0.004774141,0.001689889,0.99353597,deep
ENSG00000008130,0.276586805,0.007982317,0.715430878,deep
ENSG00000008226,0.052819802,0.066324496,0.880855702,deep
ENSG00000008256,0.012281721,0.000185329,0.98753295,deep
ENSG00000008277,0.173575214,0.031018825,0.795405961,deep
ENSG00000008282,0.007887384,0.017537897,0.974574719,deep
ENSG00000008283,0.252131077,0.005492509,0.742376414,deep
ENSG00000008294,0.293069539,0.006853194,0.700077266,deep
ENSG00000008300,0.006916928,0.006161323,0.986921748,deep
ENSG00000008311,0.039936054,0.006584697,0.953479249,deep
ENSG00000008323,0.020129709,0.002086546,0.977783745,deep
ENSG00000008324,0.030842867,0.039970424,0.929186709,deep
ENSG00000008382,0.010086965,0.04940895,0.940504084,deep
ENSG00000008394,0.063645769,0.023725171,0.91262906,deep
ENSG00000008405,0.01603933,0.019268998,0.964691672,deep
ENSG00000008441,0.059154616,0.053657641,0.887187743,deep
ENSG00000008513,0.075018127,0.046499955,0.878481918,deep
ENSG00000008516,0.0262836,0.056810765,0.916905634,deep
ENSG00000008517,0.044272953,0.140866632,0.814860415,deep
ENSG00000008710,0.263695729,0.002258217,0.734046055,deep
ENSG00000008735,0.091090789,0.102400251,0.80650896,deep
ENSG00000008838,0.104059881,0.01721389,0.878726229,deep
ENSG00000008853,0.16418033,0.010289814,0.825529856,deep
ENSG00000008869,0.276506441,0.017110662,0.706382897,deep
ENSG00000008952,0.056500324,0.005983062,0.937516614,deep
ENSG00000008988,0.002055172,0.004030693,0.993914135,deep
ENSG00000009307,0.213452471,0.013954889,0.772592639,deep
ENSG00000009335,0.017081307,6.09E-05,0.982857769,deep
ENSG00000009413,0.083227208,0.018694304,0.898078488,deep
ENSG00000009694,0.033428538,0.018271056,0.948300405,deep
ENSG00000009724,0.00280639,0.047864886,0.949328724,deep
ENSG00000009765,0.135553602,0.004226837,0.860219561,deep
ENSG00000009780,0.085130635,0.026966256,0.887903109,deep
ENSG00000009790,0.000797338,0.180796518,0.818406144,deep
ENSG00000009830,0.00193221,0.003174117,0.994893673,deep
ENSG00000009844,0.024635126,0.003978105,0.971386769,deep
ENSG00000009950,0.047951611,0.002953043,0.949095346,deep
ENSG00000009954,0.015755407,0.000267165,0.983977428,deep
ENSG00000010017,0.031628027,0.009768444,0.958603529,deep
ENSG00000010030,0.027243529,0.085925033,0.886831438,deep
ENSG00000010072,0.104241711,0.002766305,0.892991984,deep
ENSG00000010165,0.177603127,1.51E-07,0.822396722,deep
ENSG00000010219,0.026992821,0.0006073,0.972399879,deep
ENSG00000010244,0.000491195,0.001146944,0.998361861,deep
ENSG00000010256,0.109202954,0.005941265,0.884855781,deep
ENSG00000010270,0.101127098,0.000863856,0.898009046,deep
ENSG00000010278,0.292104048,0.036186694,0.671709259,deep
ENSG00000010282,0.03709351,3.36E-05,0.962872863,deep
ENSG00000010292,0.002094921,0.015477415,0.982427664,deep
ENSG00000010295,0.377461174,0.012124801,0.610414025,deep
ENSG00000010310,0.001288278,0.002446104,0.996265617,deep
ENSG00000010318,0.046081599,0.092407692,0.861510708,deep
ENSG00000010319,0.000519432,0.002491659,0.996988908,deep
ENSG00000010322,0.055822945,0.048304256,0.895872799,deep
ENSG00000010327,0.020258031,0.08060634,0.899135629,deep
ENSG00000010361,0.006815994,0.001860545,0.991323462,deep
ENSG00000010379,0.02053503,0.026206885,0.953258085,deep
ENSG00000010404,0.174435138,0.000700143,0.824864719,deep
ENSG00000010539,0.026454828,0.002156827,0.971388345,deep
ENSG00000010610,0.003289733,0.102524743,0.894185524,deep
ENSG00000010626,0.012615267,0.004229585,0.983155148,deep
ENSG00000010671,0.000730099,0.149119403,0.850150498,deep
ENSG00000010704,0.019455982,0.034698884,0.945845134,deep
ENSG00000010803,0.068709673,0.011559496,0.919730831,deep
ENSG00000010810,0.052317343,0.174079371,0.773603286,deep
ENSG00000010818,0.064709971,0.016093744,0.919196285,deep
ENSG00000010932,5.90E-05,0.000474757,0.999466208,deep
ENSG00000011007,0.265666754,0.032327478,0.702005768,deep
ENSG00000011009,0.190978791,0.00210203,0.806919179,deep
ENSG00000011021,0.000206682,0.081645731,0.918147587,deep
ENSG00000011028,0.232318493,0.006817148,0.76086436,deep
ENSG00000011052,0.01833338,0.036713234,0.944953386,deep
ENSG00000011105,0.071005885,0.009397376,0.91959674,deep
ENSG00000011114,9.93E-05,0.006837544,0.993063199,deep
ENSG00000011132,0.012940186,0.00699192,0.980067893,deep
ENSG00000011143,0.035995037,0.009768581,0.954236382,deep
ENSG00000011198,0.000710211,0.001006276,0.998283514,deep
ENSG00000011201,0.110112021,0.004100299,0.885787679,deep
ENSG00000011243,0.037909004,0.016832547,0.945258449,deep
ENSG00000011258,0.04913505,0.00687766,0.94398729,deep
ENSG00000011260,0.039817471,0.001132649,0.95904988,deep
ENSG00000011275,0.135763845,4.59E-06,0.864231561,deep
ENSG00000011295,0.130575433,0.052288577,0.81713599,deep
ENSG00000011304,0.07782865,0.015694448,0.906476903,deep
ENSG00000011332,0.038168925,6.13E-05,0.961769781,deep
ENSG00000011347,0.231507779,0.033679279,0.734812942,deep
ENSG00000011376,0.165275749,0.049795751,0.784928499,deep
ENSG00000011405,0.007810899,0.002311769,0.989877332,deep
ENSG00000011422,0.003324895,0.099475589,0.897199515,deep
ENSG00000011426,0.000415901,0.03330002,0.966284079,deep
ENSG00000011451,0.010870394,4.20E-07,0.989129186,deep
ENSG00000011454,0.054287268,0.002762914,0.942949818,deep
ENSG00000011465,0.165507616,0.000483163,0.834009221,deep
ENSG00000011478,0.111621365,0.016408252,0.871970383,deep
ENSG00000011485,0.003055514,0.067694582,0.929249904,deep
ENSG00000011523,0.223940986,0.039708802,0.736350211,deep
ENSG00000011566,0.077036646,0.01501717,0.907946184,deep
ENSG00000011590,0.010983437,0.003684746,0.985331818,deep
ENSG00000011600,0.000633685,0.14356714,0.855799175,deep
ENSG00000011638,9.03E-05,0.00806918,0.991840496,deep
ENSG00000012048,0.003890979,0.009776022,0.986332999,deep
ENSG00000012061,0.041695233,0.003385971,0.954918795,deep
ENSG00000012124,0.06836737,0.086796586,0.844836044,deep
ENSG00000012171,0.133079078,0.007350059,0.859570864,deep
ENSG00000012174,0.091722995,0.042139931,0.866137074,deep
ENSG00000012211,0.107566819,0.006169244,0.886263937,deep
