sid,scaden_epi,scaden_lymph,scaden_conn,epi_pan_neo,inflam,connective,dead,epi_pan_non_neo,epi_pan_perc,inflam_perc,connective_perc,dead_perc,epi_mon,lymph,macro,neutro,epi_mon_perc,lymph_perc,macro_perc,neutro_perc,epi_manual,lymph_manual,combined_neo_epi,combined_inflam,combined_conn,combined_dead,combined_epi_non_neo,combined_mon_unique_epi,combined_lymph,combined_macro,combined_neutro,combined_epi_perc,combined_inflam_perc,combined_conn_perc,combined_dead_perc,combined_lymph_perc,combined_macro_perc,combined_neutro_perc,scaden_own_epi,scaden_own_lymph
s_1,52.970474,5.1782852,16.5667553,166490,2660,172123,787,7844,49.8234,0.7602,49.1915,0.2249,128200,6878,5740,570,90.67,4.86,4.06,0.4,50,0,185984,8056,152314,1340,2210,6345,80,2345,8,54.2372,2.246,42.4649,0.3736,0.0223,0.6538,0.0022,42.9782176,5.2898095
s_10,52.645121,5.2458307,17.1408581,168454,749,124416,403,3365,57.7762,0.2519,41.8364,0.1355,116438,3506,4373,54,93.62,2.82,3.52,0.04,50,0,182619,3763,109570,373,1062,5537,72,1826,23,62.0702,1.2344,35.9429,0.1224,0.0236,0.599,0.0075,42.7951662,5.3566588
s_100,50.9607136,5.6511942,17.9217752,70602,505,51106,247,809,57.931,0.4097,41.4589,0.2004,27085,1763,2532,46,86.19,5.61,8.06,0.15,60,0,74225,1965,46561,239,279,1914,13,1075,1,60.5186,1.5562,36.8736,0.1893,0.0103,0.8513,0.0008,40.3590562,5.8848214
s_101,45.9541589,5.936583,19.5622403,87134,1963,161001,1206,5960,36.1862,0.763,62.582,0.4688,66712,5320,4284,370,86.99,6.94,5.59,0.48,50,0,104243,5906,143855,1404,1856,3666,171,2313,79,41.6577,2.2414,54.5954,0.5328,0.0649,0.8778,0.03,39.6447461,5.2065641
s_102,51.2557376,5.4124637,17.2342211,73910,724,79778,139,4669,49.3525,0.4547,50.1055,0.0873,62194,3285,2072,34,92.02,4.86,3.07,0.05,60,1,84016,3445,70599,155,1005,2810,71,1218,9,53.7758,2.1093,43.2253,0.0949,0.0435,0.7457,0.0055,42.8697145,5.1605407
s_104,48.6672084,5.8926901,18.8312866,421128,3006,459278,818,17585,48.6478,0.3333,50.9282,0.0907,289474,13058,5500,93,93.95,4.24,1.78,0.03,60,1,465843,14078,416412,837,4645,13563,129,2735,5,52.7147,1.5331,45.3486,0.0912,0.014,0.2979,0.0005,39.720909,5.3113455
s_105,49.61982,5.7532334,17.9721836,87887,4482,64213,1338,5752,57.2114,2.7384,39.2327,0.8175,71134,9714,6741,72,81.15,11.08,7.69,0.08,70,1,97650,10498,53194,1233,1097,2649,197,2651,9,59.9345,6.2053,31.4426,0.7288,0.1164,1.567,0.0053,40.148756,5.5838356
s_106,46.1979195,5.7203781,20.3056844,68765,2382,167798,661,5678,30.3497,0.9711,68.4097,0.2695,57806,7421,7681,164,79.11,10.16,10.51,0.22,40,0,85665,7994,149392,661,1572,3983,224,4249,40,35.9445,3.15,58.8667,0.2605,0.0883,1.6743,0.0158,37.9671682,5.3940748
s_108,47.2913842,5.773765,19.8984093,137538,1215,147379,683,4546,48.7656,0.417,50.583,0.2344,73944,4043,3773,56,90.38,4.94,4.61,0.07,40,0,144870,4498,139696,621,1676,2772,52,1380,6,50.5185,1.5218,47.2631,0.2101,0.0176,0.4669,0.002,38.3471987,5.4480384
s_109,50.7559451,5.3495713,17.8918796,126025,3612,275329,421,17901,34.0019,0.8533,65.0453,0.0995,112016,11201,2608,424,88.73,8.87,2.07,0.34,50,1,156484,12340,248479,759,5226,4896,180,1251,28,38.7778,2.8722,57.8338,0.1767,0.0419,0.2912,0.0065,41.3039315,5.242065
